GPNMB BAP1
HRH1 BCL6
SREBF2 SUPT3H
NCF4 VIPR1
TAF6L KLF9
CHPF2 IGKV2D-30
NRIP1 FOXH1
CCL28 OR12D2
NLRP14 INHBB
PECR ADPRH
DLG4 MBP
TRPV1 CD19
FAM3B FAAH2
GALNT5 CHGA
PIH1D3 SGMS1
PCOLCE RUNX1
ARL6IP1 SEMA3F
MKI67 CCND3
CIB1 ITGB1BP1
ZNF425 VPS11
TIAL1 CD70
BRCA1 CREG1
GPC6 NPAT
KRTAP21-2 PGAM1
ABCD4 ABCG2
MAFA NAT2
PRL IFITM1
SNX10 KCNH2
ARHGDIB ADRB3
PRELID1 IK
RDH10 EML2
HBG1 KIF24
JAK2 VNN2
TMED1 SIRPG
MXD4 ZNF177
GLMN KRT9
MTIF3 DOK4
SLC25A11 PEA15
TCEB1 MED7
NMRAL1 COPS6
FSCN2 RDH5
PAFAH1B3 SEMA5A
PAQR3 RPL18A
CRYGD EML2
EHF TCF19
CDS1 RDH5
ETNK2 CHMP2B
HOXA4 PKD1
CHRNB3 XYLT2
POLB RAD54L
TYR CDH18
MATK CDC27
DDIT3 MAFA
TINAG PCDHAC2
SLC37A2 ATP6V1H
CENPC LRRTM3
PRR11 LSM4
RABL2B IFNA5
SCUBE1 ABCC5
RHOXF1 NUMA1
CEACAM3 SLC25A12
AVP CCL16
ADGRE1 PCDHA11
FEN1 ACOT1
DSC2 IGSF1
RNASEH2A ME1
TUSC3 PLK5
MCEMP1 TOP3A
PIBF1 OPN1MW2
SULT6B1 CYP11A1
SPEG FAM92A1
AARS2 FGG
SHPRH FMR1
PDC TSHB
RELA CCL2
GH2 TIMM10B
MAEA TCP11
SQRDL ZNF425
GRAP AMH
HERC5 CCNT1
HBA1 HOXA5
GDF11 HCK
GJA4 TUBB3
MRGPRX2 MRPS5
CXCR2 RNASE2
MYEF2 CCNT2
GRB2 PCSK2
CWC25 PRKD3
FKTN APLP1
MAP2K1 CD9
FES REG1B
ZMYND11 TAL1
TARDBP TMCO1
SDHAF4 GNG7
MOGAT3 IGKV2-28
MOG SNTG2
TAS2R8 MITD1
TMTC2 PARP1
NRF1 SUPT3H
CCL26 GDF15
MID2 PATZ1
ACTR3 ARHGDIB
LIN9 SLC5A10
ARL8A PABPN1
SLC32A1 APC
ACAA1 PHKA2
TOM1L2 IL15
NA NTNG2
ALDH3A2 NPAS2
SNAPC5 KAT5
PHLDA1 OR6K6
TCN1 AGXT
CCL5 CD36
CEACAM1 CERS6
MMP13 OLR1
FGFR3 NMI
VHL CDK10
SMARCD2 KLF7
OR52A1 SEMA3C
METAP1D HIPK3
DMAP1 SLC29A1
GTF2E1 MED1
OR6C6 CSF3R
SRCAP NR2F2
LSP1 KRT81
OPRK1 PTAFR
ZAP70 CDH10
UGT2A1 CHD9
LALBA TNFSF10
INHBA NRIP1
KCNJ2 HTR6
TMED5 RACK1
ADRM1 CD84
GREM1 HMGA2
SNF8 NRF1
MAT2A IGSF3
OPA1 BRE
MYH2 CDK6
TMEM179B IGHV3-13
APOBEC2 NNT
FABP4 SPIN1
ACAT2 OSBPL1A
SLC1A3 NPFF
KHDRBS3 ADAM18
S100B FSCN1
DCTN1 PDE8A
SCML2 CST6
PCDHB6 CD9
IGLV3-25 LMTK3
BMP8A CASP14
CXXC4 MRPS31
KCNIP1 PI4KA
MIR23B DDX5
FAT1 PTPRF
KRTAP21-2 MYCNOS
KRT16 REG1B
SCUBE1 CRX
OR51A2 ELK4
IRF2 TNFSF9
RRH UCN
CHRM1 ACHE
IL12RB2 PRL
IGSF6 VIPR1
CCL26 CEBPB
PCDHAC1 SELL
DDX19B ABI2
IZUMO1 PCDH7
FES HOXC6
TIAL1 TRADD
FCGR2B FCGR3A
PDZK1 METTL7A
ELAVL1 CCL3L3
CHST4 PTAFR
G6PC3 ABI1
FRK PRKG2
LIAS SRD5A2
PIGU NOD1
SERPINF1 SMO
HIST1H3A APOBEC3D
OR51L1 COX5B
EIF2B4 PDCD7
CORIN MMP12
UBE2I EREG
RFX1 IL18RAP
COPG2 DLST
ZNF425 MIR711
SH2B3 PYGM
ITGAD SYT11
GABPB1 KCNIP3
SLC25A29 TMEM219
CCL26 TEK
IFI30 AMOT
GTF2B SLC7A8
ERCC5 SNAI1
NPPC OR2V2
STK38 MKNK1
ACOT11 ASIC1
SMURF2 UBE2H
PADI1 ZNF365
PITRM1 ASTL
RABGAP1 CYP3A4
KRT24 PRKCH
USP25 MMP23B
KIR2DS1 DAOA
GRAMD4 SPRR1A
FPR2 AMFR
ZNF443 TNFSF10
CRYBA1 VSX1
PTEN CREG1
SASS6 P2RY11
SLC35A1 SLC5A2
RGS1 DUSP1
GDF11 JAK2
RARRES1 CDK10
NTSR1 PCDHB3
OR4E2 RDH10
COPS4 CEACAM5
OR8K5 EIF3E
NKX6-1 TAF6L
HCFC2 GPR3
COL5A1 RRS1
COL9A1 AES
SLC35B2 GPR32
HAO2 IGHV4-59
DBF4 UBE2V2
FGF11 CD33
DPP8 RAG1
LCE1A CDC42EP3
OR51V1 USP20
RP2 DNMT3B
CEP164 MYB
UBE2N ADAMTS4
OSBPL9 LMOD1
SLC22A9 JADE1
CALY SYN2
WBP4 OR6C70
DBP JUND
GP9 ATF1
TMEM17 FGF8
IGSF6 CCL27
CCL19 SEMA7A
IL1RAP VAPB
LTA ASH1L
CMPK2 DNAJC19
ABCC9 DUSP16
KCNQ3 ACTR1B
FOSB TNFRSF17
PIM2 CCKBR
NKX6-3 SMPX
FAS MAP3K10
CORIN APOA5
CSF1R LRP1
CLEC4E GPR34
CDX1 GNPAT
CRYBA1 CUEDC2
CD160 MXD1
BORCS6 METTL21A
ARHGAP23 OR8J1
SLITRK1 TAP2
MBD5 GCLM
THUMPD1 AGO2
PDIA5 NECAB3
TMEM147 PRKG1
SSX2IP PCF11
FLRT1 CENPJ
CST2 RIT2
RAB32 GPR139
SHOX2 RASGRP1
QTRT2 CIB2
RYBP PRELID1
MED6 MED21
FTH1 IL1A
DLG4 CBLN1
PRKCI CYTH1
AVIL APBA2
HTR1D CLK2
CBX6 HTT
ABCA5 CDH12
SEC24B CDIPT
IFT43 ESRRB
MX1 FOXN1
BCL2L10 LCK
PLEKHM2 APITD1
OR8G2 CCL3L3
NEK2 CDK13
IFT122 PRICKLE1
KRT13 EP300
WDR3 ICAM2
LPAR3 SYN2
TMEM179B HMGCS2
TMEM179B PGAM2
EXOC7 THEG
METAP1 ERN1
CEACAM4 ATP8B2
HEXIM1 ZNF148
AASDHPPT CTSL
A2ML1 DTYMK
CASP3 MBTPS1
CDK3 AREG
STAG3 PHF2
CPN1 GNL3
FAAP20 PDE6G
MEP1A VIPR1
PEPD ATP6AP2
SIK3 SLITRK1
OPRL1 PROK2
MST1R AKAP4
CDKN2C MNT
CDK13 GLP2R
CCL21 LCLAT1
MTCP1 CDK17
PASK EGR3
SYNCRIP SNRPG
HAL OR52K1
ABCA13 XAB2
UQCRQ FOXJ1
CELF2 DDX54
ALDH3A1 LOXL1
DSPP SMARCD2
AGPAT2 GRIN1
LTBR GCLM
PANX1 NLGN3
TARDBP GLI2
CTSO CYP4F8
TUBGCP2 PTCH2
HSF4 NFKB2
ATP8A2 RXFP2
MLNR NTSR1
CRB1 TSHR
CST9 CXCL6
SMARCD1 SOX12
DLX5 EPHB1
MED16 ARID1A
SPIDR GAGE1
KCNMB3 KCNK1
WFDC2 PRSS2
ANXA1 ARHGDIB
FGF8 MNT
HADHA ACACB
MEMO1 BACE2
RNF182 TIRAP
PHLPP2 ERCC8
CLSPN OR2AG1
MATK ADH4
PFDN6 TCEB1
E2F4 BCAR3
CEACAM4 SOX8
ELF5 PLK1
GADL1 CYB5R4
APOM RUNX1T1
FCER1A GGT1
HCLS1 RPS6KA4
GGPS1 CDH2
FSCN2 IMPG2
MIR514A1 TMED1
FSCN2 HOXC6
SCN5A SLMAP
OR52E4 PHKA2
ACSL1 SCTR
FFAR2 MLN
ARFIP2 RAB6C
HTR3D CDK8
KCNC2 MARS
PHEX WISP1
KRTAP6-2 ASXL1
CSF1R MAPRE1
KRTAP6-3 ADPRH
COL4A3 PRKRA
NRBP1 ZW10
RIT2 CPNE6
NFIL3 STAT1
SLAMF6 KCNJ6
GABRB1 SLC13A4
MYF6 SMARCB1
KLRA1P IFNA2
F2R SST
CRYBB2 CNGB3
SMAD3 POLR2E
SIRPB1 MIF
MYO7A NME1
SNF8 MNAT1
ITGA9 ART3
DCK GSS
APPL2 TGFBI
PGC HTR1E
FURIN FGFBP1
RELA BCL6
SMC4 ELOVL1
CDK3 LMO1
CHD4 TCF12
CSF3R FAH
PIM2 ELF5
HACE1 AMPD3
SSB AIFM3
SYT9 ILF3
TAAR9 ADORA2B
PAGR1 TRAF3IP2
KLRB1 PLCB4
NPR1 SERPINF1
RPL4 CYP3A4
DMTN PSMB6
CHST4 ZAP70
FGF2 LCK
OR7D2 DDC
NEU4 RBM26
NUDT13 CSNK2A1
COL4A3 ATP6V0A4
SHTN1 OR10H1
SKP2 TSPY1
FYB ABI3
STYX DBF4
CNGB3 PROCR
TCOF1 MAP3K2
MNT SUFU
PIH1D3 AVL9
CEBPB CHUK
CENPK SNRNP27
FSHR FFAR3
CLK1 SURF1
NUP210 COPS6
ZNF146 ZNHIT3
KRTAP22-1 RAD51AP1
HSPB8 PSMA1
LYPD5 APPL1
FCGR1B KPNA4
HOXC6 MED26
ELF3 MAX
MCRS1 FZR1
B3GALNT2 ST3GAL2
SLC35F3 PILRA
CSPG5 CYP46A1
MIR26A2 ART4
MYO6 USP24
MYO7A CNGB3
IFNA17 KPNB1
OPN3 HTR5A
PEX13 CCR3
CHRM3 FKTN
NOP2 PPP2R1A
HOGA1 MC3R
PNN CCL2
TENM1 SEMA4F
CDH11 MCM3AP
CYP24A1 WRNIP1
TCERG1 KDM5A
TCERG1 POLR2L
VTI1B AREG
CCL21 SEMA5A
NFAT5 NPHP1
SERPINF1 PLXNA1
PPARD FMO3
GJA1 KCNH2
AGRP COMMD6
BCL2A1 SON
LCK CORO2A
PDCD1 DDX41
ADRA1D LGI1
MXD1 FSCN1
CCL27 VIPR1
CLN8 FZD9
RIMKLA MAGEA10-MAGEA5
DEFB127 HAL
LILRB2 LY75
KLF10 WARS
HLA-H ANAPC13
PA2G4 FSCN1
UNC13D CEACAM1
MYO1E KCNH2
SNRNP35 UBE2O
CXCR1 RNASE2
DUSP23 TOE1
CRYBA1 TACSTD2
LYVE1 VIM
TRAIP OR2W3
CYR61 ZFP36L2
IGF2 PDPK1
NAXD HS3ST5
ABLIM1 PAX6
CGRRF1 POU1F1
ZNF76 GATA5
DSCAM IGSF1
IL1A CBFA2T3
UGT2A1 VDR
CLK1 KIF15
RTN4RL1 PRMT6
IFNGR2 MARCO
DYRK1A OR52E6
SLC40A1 ASIC5
PRKG2 LRWD1
CHD1 NRF1
SUPT4H1 SMARCA5
CNTFR DOC2A
TSTD1 RAB11A
ARMC4 SEC61G
TMEM33 IDH2
FGF13 GHRH
SEPT4 CXCR1
VPS50 FGA
IL15 GTPBP1
SLC16A10 SCOC
PARP3 ACVRL1
FUT4 ALG1
EP300 PCDHAC2
DAB2 PTCH1
TRMT61A SYN3
NDRG1 ARSH
MTHFD1 CRMP1
CCL13 TNFSF9
ALDH2 CEP68
CATSPERD ARHGAP23
AGPS PTP4A3
CWC22 CLEC4C
SIAH3 GALNT5
B4GALNT2 ZMAT5
TJP1 BRINP1
ATF6 UHRF1
RPF2 CLPS
KLHL41 ZNF354A
PCSK6 PRSS2
CDCA5 KIF11
WFDC2 NR6A1
ASAH1 CLCF1
TAAR6 SST
INSL4 NELFA
EMP3 UMOD
TAS2R40 RAB5C
TRAM1 CDK2
GTF2H2 MPP7
HLA-DOB PRDX4
PANX1 GPR17
NEU3 SLC5A2
CXCR2 S100A8
BLK MMP21
NDUFC1 FKTN
MTOR GML
KLK14 CXCL2
SRI SLC25A12
VTI1B TARS2
GPR19 PDGFB
DNAJC9 RNF216
FGF13 L1CAM
OR10P1 WASH1
CNTFR NEURL1
HOXC5 BUD31
ARHGAP35 CREBZF
FXN SDHC
CXCR3 AVPR1B
CRH GRIA1
MNT NFIX
QSOX1 HDAC9
F2R SCG2
NEDD9 SIX2
TIMM13 OR8H1
LRRC26 MOBP
STX10 HDAC6
MYO7A RABGGTB
MYB RNF187
IL15 NCF4
FYN MARK1
STAG2 MYL6
ASPM KLF12
POLR2E NOB1
TAS2R19 SLC47A2
OGDH ETHE1
GCGR RUNX1T1
RPL26 RRBP1
POU2F3 POLE4
CCL23 CALR
MRPS31 BRK1
GCG CBFA2T3
XIRP1 CARD10
TCF19 CBFA2T2
MRPS18B TTLL8
OR51A2 MRPS7
MRE11A CABIN1
SLC6A1 HOMER1
GAD2 MBP
NDOR1 CNOT2
PDGFRA ARHGEF1
MRPS26 GPHA2
FBN2 PHLDA3
VCAN LOXL2
BUB1B EVI5
PTRF NAT2
NGB AOC1
GPR17 TLR6
IFITM2 ACKR4
TFAP2A BUD31
ANXA1 HRAS
GNRHR2 SMARCA5
CKAP4 ESRRG
POU6F2 RDH5
RPS4X ZPR1
NHLH2 PTPRZ1
WBP4 CHMP4B
DGKK PYHIN1
CYR61 CTNNBIP1
CDY1B COX6C
ERCC2 NFRKB
CDK6 MKI67
RHOG NAP1L1
SKA1 WDR5
SSTR2 ADAM17
PLA2G2E IL10RB
GABARAPL2 OR6Q1
ARFIP2 ACTG1
USP33 ITGB7
CXCR2 CCL25
PPM1A SLC20A1
PFN2 KRT83
DAXX PPARD
EDN2 PTPRG
NRF1 ACO2
AK5 RNASEL
KCNF1 KCNH1
SIGLEC7 RABGGTA
MAEA POMT1
KLK3 VPS36
ARG1 GNAI1
TWISTNB PDGFB
INSM1 CROT
AP3M1 TEX10
MMP21 FOXF1
CCL2 COL18A1
AVP SIRPG
WASF3 HMGA1
ALK CBLN1
NAPEPLD MAP3K3
GNG2 KLRC3
EDAR AGRN
SPA17 ARG1
SREBF2 STAT6
ADD3 SMARCD1
LIAS MPP7
AMH GRB10
IL31RA EVI5L
SYK TRAF1
EEF1D PCDH1
FOXD3 SNTG2
GDF11 TIE1
MACF1 GPNMB
MED1 SLC35D1
GATA3 SNAPC3
MCL1 FZD6
MEF2C SOD1
MTBP PLD6
FCGR2B TNFRSF4
STAMBP DDX11
DNAJC4 OR7C2
INSL3 AVP
STK26 NAE1
EFNB1 VWF
PLN ANP32B
TSSK4 OR52B2
LMO1 RPS27
GPR1 CD3E
DLG4 STK16
NUP62 TNFRSF9
KPTN ANXA1
TNFRSF6B RNF7
KCNN3 PCDHB6
NR2E3 CRYBA1
F2R CAPZA1
NFASC CEBPB
CLEC4C TFPI
PLA2G3 MMP1
ING2 ZFHX3
FSHR GCG
GATA3 CAMLG
CHRM4 CLCN3
FANCI GPSM2
PITX3 SLC5A9
KRTAP21-3 ARL2BP
PTGDR2 CIITA
MIR148A IFRD1
ADH5 IPO8
SLC38A9 KDM3A
TRIM13 OR8D4
CTRL CASP8
CEBPB POLR2F
CCT6B PIN4
MS4A2 GPR50
DTX1 HLA-DPA1
ASS1 HOXC11
TGOLN2 THEG
HEXA ANKRD9
ASMT RPL7A
UBE2V2 BCAR3
EHF TGIF1
AR ABCB11
MATK CLEC11A
YKT6 SDS
VPREB1 CTSV
FGF20 SSTR1
KRT18 KRT35
APBA1 VTN
MKS1 ZNF513
PCSK2 TFAP2C
SLC39A1 MAP3K1
ATP2A2 KDM1A
DPP3 FBXO6
TGIF1 DLK1
HOXC6 CDK13
TDGF1 CUL3
OR5C1 GP2
HCRTR1 UNC119
ROBO1 MAGI1
CRNN TPPP
OR2M5 CLSPN
DENND5A LYZL6
ZNF256 IGF2
OR51D1 SLC39A6
FOXRED1 ABCA2
TAS2R7 GRIN1
TACR1 TACR3
NNT NANOS3
POLR2J HAND1
SMARCAL1 TARBP1
GDF10 CLEC3B
APC PCDHB3
MGLL MRPS17
AKAP3 EFNB3
TCF12 MED23
EPAS1 POLR2L
FLT1 PTHLH
TAAR9 PIK3CB
PACRG RIPK3
DGKK ADAT3
PEPD CASP8
TCF4 TFAP2B
INTS10 IPMK
PMF1 NFE2L1
ARR3 RPGR
SMNDC1 MS4A2
TIMM44 QARS
OSTM1 DLL4
MITD1 RAPGEF3
ADRA2C TEK
CRYGD RRP7A
AKT1 GCG
NUDCD3 KCNC4
YAP1 IFT74
BPNT1 SLIT2
EDN3 CXCL10
GJB5 KRT9
ELF5 OSMR
MAPRE1 ANAPC5
ARIH2 ARHGDIB
IL1RAPL2 NHLH2
SLC44A3 DHCR7
VIM DNALI1
LPAR4 CXCR4
MIS18BP1 PLA2G16
CHST4 GRAP
CYP1B1 RPGR
ADRB2 GRM4
PLA2G2D PLAA
ADD3 NDST1
RARRES1 UMOD
SCRT1 PAIP1
IGKV2-40 SDHAF2
B4GALNT1 OR5B3
PSIP1 IGLV1-51
PLIN3 BCL2L1
ASF1A RARS
FLRT1 DCAF16
UNC5D OR6Y1
KCTD7 RABGGTB
ABCA12 CCDC91
ITGB3BP DGCR6
SYNCRIP LSM1
DKK2 POLR2D
DYNC1I1 CHRNA7
CSF1R LGI1
ITGA9 ATP2A2
ALDH3A1 OR52A5
SLC6A14 CDK12
XRRA1 STK38
USP39 KHSRP
KRT6C TRIM35
GAK NFRKB
TTC7B NOX4
GYG1 CTTN
COL17A1 CSRP2BP
SPTSSB PPP2R1A
SNX8 OR56A3
MYL1 EPB41
DNAJB2 HSPA6
NCF4 CYP4F11
MLNR GPSM2
TENM1 CCL27
SUFU BMP1
VTI1B IL15RA
PSG3 POLG2
HLCS BRD1
FPR2 FOSL1
QSOX1 VHL
ABCB7 HMGN1
GSTM1 UBR2
MID1 KARS
INSL4 TACSTD2
CDK3 TRIM27
OR10G2 PMVK
EFNB1 ARF6
RAX IMPG2
PPBP SLC2A1
RFX1 GTPBP1
SGK2 TRH
FAP FAH
HBE1 HSD17B2
OR4K3 LAMA1
FABP1 RAMP1
SLC25A4 GRAP
HOXA10 SUFU
HTR1B KCNQ3
TMC2 ICT1
CYP3A4 MIR514A1
GUK1 RHOT1
MTCP1 IFITM1
ARL5A F3
MRPL21 SELP
ST6GALNAC2 ATP2B2
PPIH FAS
METTL16 TBC1D8
VIPR1 CHRM3
CIDEB IKBKG
NLK ASB15
ELF2 RUVBL1
FMO2 RGS2
ACOX3 WASH1
ADGRG1 TNFSF8
KHDRBS1 PLN
FKTN ITM2B
IL6ST RGS1
MRE11A VPS33B
NR5A1 FGF20
ALKBH5 HPCA
CPSF4 COL25A1
EPAS1 FEV
IFT43 PPP3R1
KPNA3 TP53RK
CXCL6 SSTR3
FMR1 SEPT11
HSPA6 ABCB8
POU6F2 RABGGTB
HYOU1 CGRRF1
SURF1 FREM1
GHRHR HOXD13
TSTD1 KRTAP24-1
HTATIP2 SMARCA2
ITGB6 KLK3
RRH BEST1
IFNL1 ADGRB1
GPR75 ACKR4
AKR1D1 TFF2
COL26A1 MRPS26
FBXO7 SIAH2
HLA-DMB MIR219A2
NRN1L AVPR1B
CHST4 TNFSF10
KRTAP5-10 P4HB
SLC6A8 SLMAP
GABBR1 RASA4
NCK2 CCR8
GABRA4 PBX3
LRRC6 SLC7A8
FCER1A LOXHD1
TARDBP BMP6
AK2 UBE2F
AKR1C1 FOXL2
MGLL FPR2
CHRNA4 GAR1
TBC1D8 SSR1
GATA3 MLF2
MIR301B KCNJ12
TRMT61B OR52R1
SNU13 TCF19
CAD DLG4
POU5F1 RARB
ZFP36L2 USP8
IGLL1 MIR16-2
BPNT1 POU4F2
LILRB2 D2HGDH
OXTR SCN7A
MLF2 CAMLG
IFT43 SLC25A38
CA1 DDC
HNF4A SOX12
PAX1 POLR2I
HLA-A MIR106B
MYL6B ARHGAP1
RHOH NLRP12
NOX4 CCL23
CTSS CD7
FOSL1 FCMR
AADAC SFTPA2
CDK6 GAB1
COL9A1 S100A14
ETS1 RARRES3
IFNL1 KAT8
PLCE1 AVPR1A
ESCO2 PLCG1
FCHO2 MIR29B2
RS1 TP53
ANG CYP1A2
IVD NFE2
PRSS2 CSNK2A1
POU2F3 URI1
SYNM CARD9
THEG CYB5R3
IFNA5 MIR30C1
CLCN1 SCN7A
APOA5 KRTAP10-8
ZDHHC23 PTPN12
KCNIP3 MMP7
POU6F2 ATOH1
STX17 TPX2
PCNP CBLL1
AGER DYNLT1
SP100 ZNHIT3
CSF3R HLA-B
CNTFR NEUROG1
TNFRSF9 RPS3A
CHRM3 GNAZ
GPC3 SIGLEC9
FGF4 PDF
FFAR3 KITLG
SETDB2 TBC1D20
SIX2 MYOC
NOBOX ADH7
ITGAL VIM
KRT71 BNIP1
KCNJ14 LSM6
TBL3 DDX1
SEMA7A PRKRA
IGF2BP3 HNRNPUL1
EXPH5 SUMF2
CLNK SYNM
POLR3G NAT8B
IL5 CCL22
OTOR B4GALNT1
BNIP1 CFLAR
CYP1B1 PAX6
GABRR1 GRIN2B
APOD ACP6
MBD3 KDM4C
SYNE1 DYNC2H1
DDR2 USH2A
IFITM5 MAF
ABCG8 CLK1
INSL4 POMC
FGF12 CXCL6
FKTN ARRDC3
MSTO1 CDCA2
CDO1 HRH1
APOA1 SERPING1
HLA-DOB DNMT3B
ACADVL PPARD
NR5A1 NCOA4
TYRO3 ADGRG1
RBSN IGF2BP1
DRD4 KCNQ3
MRPS6 CHRM5
CCDC85B IRF2BPL
FABP2 CLK2
HSPE1 B3GNT2
SLITRK1 RHAG
DPP3 C4BPB
ZDHHC17 LGALS9
GNLY C2orf47
TPSAB1 SLC35A1
MGAT4B SUMO3
NAALAD2 CEP152
HAUS2 HSPA5
CRYGD ROM1
RCAN1 MECOM
DAOA RAPGEFL1
EPHA2 PLXNA1
TRPV2 CHRM5
AP2S1 YKT6
ROR1 BDKRB2
GPR173 TBC1D10C
BCL2A1 RNF7
ELAVL1 DRG1
HTR2A KCNC4
SLAMF1 TNFRSF11A
CHRM3 AVPR1B
CCL22 ZEB1
S100A8 SCG2
FES GCG
VTI1B CD70
CDH24 UBR2
SKA3 EDN3
UNC13B ERCC2
WDR81 SGK2
RAB10 ARL2BP
BNIPL RIPK1
CTSV SAP130
CDH18 KBTBD7
SSTR3 WISP3
DEAF1 CPM
RBP1 OR2M4
CDH18 ABCB1
CEBPB TAF5L
SNRNP35 GCSH
CLCN5 PILRA
ADORA2B KLRC2
ZFHX3 TRAPPC2
LILRB2 ADAR
RELA TNF
SF3B2 SRPK2
SLC6A2 FKBP4
IL13 CUTC
TBX3 UQCR11
AQP6 PEA15
CNGB1 OPA1
HMG20B MCM10
DEK FOXN1
EP300 P3H1
LGALS9 SEC24B
NLRP14 IGLV2-11
SLCO2B1 GCNT4
LILRB2 FGF18
ABHD2 SPPL2B
CP CALR
KCNJ5 KCNE2
COL4A3 ATP8A2
NPR3 TBX3
PA2G4 ARID5B
IVD OR8H1
GRM5 CALY
ABI2 PLD2
NINL GNAT2
GAMT KCNJ4
GYS1 ARL5B
PDF TNFSF4
PCNA PDGFRA
FLI1 BRAF
PTGDR2 FCGR1A
CLNK BTK
KIAA1033 TFIP11
MALSU1 DUSP11
KLHL2 ASCC3
ADRA1D ARVCF
HTR1B HTR7
RPN2 UBA52
SMOX IL12RB2
DNAJC4 MRPS18B
MOSPD2 NAIP
LRR1 SHPRH
ADORA2B GPR1
GDI2 HOGA1
NRDC PROK2
ARL3 LGI4
CYP4F22 CLEC3B
ASIC4 IGLV6-57
TAS2R1 CCL25
IL1RN ITIH4
DUSP6 RXRB
EAPP SMC4
FGF17 FGF16
EFNA3 PACSIN1
FES CREG1
NBEAL2 VPS11
MSN CCL4
ASPM MSH3
UGGT2 PIK3AP1
SPIRE1 ARPC1A
MYH4 MAGED2
CDKL3 KRT6C
GPR35 DLD
VTI1B PROK2
MRPL28 COPS4
ZNF559-ZNF177 AP1M1
SCAMP3 EHD3
NUFIP1 MED1
FARSB NFIL3
CREBL2 CEP126
FAT1 TNFSF8
NAMPT LILRB2
TCEB3B POLR2I
OR6F1 BRD7
NPY FSCN1
FGF13 PCDHA11
KCNQ3 CDH12
KCNH2 SNX18
IGSF6 IFITM1
NFKBIA COX6C
MCIDAS CDK9
WAS CD22
ALDH1L1 CACNB1
OR5B17 OR2A12
OR2M5 PRDX5
ACSF3 TRAIP
HPCAL4 CLEC12A
EPHA3 SULT4A1
CNST SIGLEC14
HTATIP2 TBX3
HCN4 GLRA1
MYL7 GPR182
GPR45 GRM1
ELMOD2 GRM1
NUPL2 CALR
SPAG1 ADAM20
TAF4B OR10P1
KCNJ3 KCNN1
DDX47 SESN1
PCDHA4 PCDHGB4
ABCA7 LYPD1
LHX1 VEGFA
SLC39A2 PPP2R5A
RYBP CLEC12A
BCL6 CXCR4
CDX2 MYEF2
CARM1 MYL6B
